ShowID,Date,Gross,Attendance,% Capacity,# Previews,# Perf.
#NAME?,26-May-24,"$877,626",7540,92%,0,8
#NAME?,02-Jun-24,"$775,476",6824,83%,0,8
#NAME?,09-Jun-24,"$863,817",7109,87%,0,8
#NAME?,16-Jun-24,"$838,262",7142,87%,0,8
#NAME?,23-Jun-24,"$1,038,278",7689,94%,0,8
#NAME?,30-Jun-24,"$949,677",7813,95%,0,8
#NAME?,07-Jul-24,"$844,143",7734,94%,0,8
#NAME?,14-Jul-24,"$891,323",7604,93%,0,8
#NAME?,21-Jul-24,"$933,990",7397,90%,0,8
#NAME?,28-Jul-24,"$974,362",7866,96%,0,8
#NAME?,04-Aug-24,"$935,333",8028,98%,0,8
#NAME?,11-Aug-24,"$906,569",7924,97%,0,8
#NAME?,18-Aug-24,"$851,216",7944,97%,0,8
#NAME?,25-Aug-24,"$820,966",7740,94%,0,8
#NAME?,01-Sep-24,"$922,390",8110,99%,0,8
#NAME?,08-Sep-24,"$717,556",7105,87%,0,8
#NAME?,15-Sep-24,"$800,315",7377,90%,0,8
#NAME?,22-Sep-24,"$644,758",5916,72%,0,8
#NAME?,29-Sep-24,"$674,655",6363,78%,0,8
#NAME?,06-Oct-24,"$812,854",7323,89%,0,8
#NAME?,13-Oct-24,"$983,563",7937,97%,0,8
#NAME?,20-Oct-24,"$1,020,343",7801,95%,0,8
#NAME?,27-Oct-24,"$879,218",7609,93%,0,8
#NAME?,03-Nov-24,"$858,775",7319,89%,0,8
#NAME?,10-Nov-24,"$1,054,276",7834,95%,0,8
#NAME?,17-Nov-24,"$875,177",7157,87%,0,8
#NAME?,24-Nov-24,"$948,295",7303,89%,0,8
#NAME?,01-Dec-24,"$1,368,204",8095,99%,0,8
#NAME?,08-Dec-24,"$1,073,850",7544,92%,0,8
#NAME?,15-Dec-24,"$1,202,915",7976,97%,0,8
#NAME?,22-Dec-24,"$1,187,866",7963,97%,0,8
#NAME?,29-Dec-24,"$1,715,481",9267,100%,0,9
#NAME?,05-Jan-25,"$1,276,642",7209,100%,0,7
#NAME?,12-Jan-25,"$922,612",7486,91%,0,8
#NAME?,19-Jan-25,"$1,044,756",7665,93%,0,8
#NAME?,26-Jan-25,"$959,824",7860,96%,0,8
#NAME?,02-Feb-25,"$1,000,328",8075,98%,0,8
#NAME?,28-May-23,"$1,123,715",7889,96%,0,8
#NAME?,04-Jun-23,"$1,131,405",7861,96%,0,8
#NAME?,11-Jun-23,"$1,134,159",8113,99%,0,8
#NAME?,18-Jun-23,"$1,339,854",8182,100%,0,8
#NAME?,25-Jun-23,"$1,401,919",8169,100%,0,8
#NAME?,02-Jul-23,"$1,181,687",8152,99%,0,8
#NAME?,09-Jul-23,"$1,132,989",8086,99%,0,8
#NAME?,16-Jul-23,"$1,198,611",8107,99%,0,8
#NAME?,23-Jul-23,"$1,248,607",8105,99%,0,8
#NAME?,30-Jul-23,"$1,206,929",8170,100%,0,8
#NAME?,06-Aug-23,"$1,192,913",8072,98%,0,8
#NAME?,13-Aug-23,"$1,144,208",7934,97%,0,8
#NAME?,20-Aug-23,"$1,079,231",7962,97%,0,8
#NAME?,27-Aug-23,"$1,024,902",8006,98%,0,8
#NAME?,03-Sep-23,"$1,172,142",8132,99%,0,8
#NAME?,10-Sep-23,"$919,974",7315,89%,0,8
#NAME?,17-Sep-23,"$983,892",7761,95%,0,8
#NAME?,24-Sep-23,"$923,506",7023,86%,0,8
#NAME?,01-Oct-23,"$938,417",7120,87%,0,8
#NAME?,08-Oct-23,"$1,109,651",7702,94%,0,8
#NAME?,15-Oct-23,"$1,127,228",7734,94%,0,8
#NAME?,22-Oct-23,"$1,122,842",7656,93%,0,8
#NAME?,29-Oct-23,"$957,958",7390,90%,0,8
#NAME?,05-Nov-23,"$997,561",7558,92%,0,8
#NAME?,12-Nov-23,"$1,107,122",7539,92%,0,8
#NAME?,19-Nov-23,"$1,104,597",7479,91%,0,8
#NAME?,26-Nov-23,"$1,459,276",8210,100%,0,8
#NAME?,03-Dec-23,"$1,138,118",7495,91%,0,8
#NAME?,10-Dec-23,"$1,223,471",7806,95%,0,8
#NAME?,17-Dec-23,"$1,199,037",7599,93%,0,8
#NAME?,24-Dec-23,"$1,348,040",8105,99%,0,8
#NAME?,31-Dec-23,"$1,784,051",9288,101%,0,9
#NAME?,07-Jan-24,"$1,118,062",7181,100%,0,7
#NAME?,14-Jan-24,"$1,167,944",7827,95%,0,8
#NAME?,21-Jan-24,"$974,754",7610,93%,0,8
#NAME?,28-Jan-24,"$1,058,739",8044,98%,0,8
#NAME?,04-Feb-24,"$1,010,599",8090,99%,0,8
#NAME?,11-Feb-24,"$897,506",7487,91%,0,8
#NAME?,18-Feb-24,"$1,212,768",7954,97%,0,8
#NAME?,25-Feb-24,"$1,137,472",8195,100%,0,8
#NAME?,03-Mar-24,"$875,386",7176,87%,0,8
#NAME?,10-Mar-24,"$1,013,517",7507,91%,0,8
#NAME?,17-Mar-24,"$1,174,596",8201,100%,0,8
#NAME?,24-Mar-24,"$1,071,034",7946,97%,0,8
#NAME?,31-Mar-24,"$1,329,607",8244,100%,0,8
#NAME?,07-Apr-24,"$1,259,279",8049,98%,0,8
#NAME?,14-Apr-24,"$1,097,034",7813,95%,0,8
#NAME?,21-Apr-24,"$993,910",7668,93%,0,8
#NAME?,28-Apr-24,"$1,019,715",7632,93%,0,8
#NAME?,05-May-24,"$824,186",6626,81%,0,8
#NAME?,12-May-24,"$966,937",7250,88%,0,8
#NAME?,19-May-24,"$904,241",7479,91%,0,8
#NAME?,30-Oct-22,"$316,211",2045,100%,2,0
#NAME?,06-Nov-22,"$779,402",7086,99%,7,0
#NAME?,13-Nov-22,"$916,641",8098,99%,8,0
#NAME?,20-Nov-22,"$913,034",8136,99%,3,5
#NAME?,27-Nov-22,"$1,145,571",8112,99%,0,8
#NAME?,04-Dec-22,"$1,029,031",7323,89%,0,8
#NAME?,11-Dec-22,"$1,152,409",7806,95%,0,8
#NAME?,18-Dec-22,"$1,071,157",7524,92%,0,8
