date,temperature_2m_mean,temperature_2m_min,temperature_2m_max,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunset,sunrise,precipitation_sum,precipitation_hours,daylight_duration,sunshine_duration,snowfall_sum,rain_sum,wind_gusts_10m_max,wind_speed_10m_max,weather_code
2025-02-01 18:00:00+00:00,-16.358747,-24.865,-4.315,-8.1097355,-29.313883,-20.641008,0,0,0,0,36561.87,32951.273,0,0,21.96,2.968636,0
2025-01-31 18:00:00+00:00,-13.198334,-19.715,-7.715,-11.789309,-24.011051,-17.289139,0,0,1.5000001,7,36427.73,31965.623,1.05,0,20.880001,5.22,73
2025-01-30 18:00:00+00:00,-12.139999,-12.964999,-11.315,-15.700456,-17.144306,-16.357079,0,0,9.099999,24,36295.81,0,6.3700004,0,41.399998,8.161764,73
2025-01-29 18:00:00+00:00,-11.069167,-12.415,-9.315,-13.592699,-16.258812,-15.016267,0,0,6.9,24,36166.297,9807.753,4.830001,0,33.12,6.28713,73
2025-01-28 18:00:00+00:00,-10.415,-13.615,-7.715,-11.776155,-17.368916,-14.186333,0,0,2.2,14,36039.367,23790.768,1.5400001,0,22.68,5.0432134,73
2025-01-27 18:00:00+00:00,-11.679584,-19.865,-2.365,-6.0634246,-24.336895,-15.752027,0,0,0,0,35915.195,19649.994,0,0,26.28,3.9312592,3
2025-01-26 18:00:00+00:00,-11.2525,-17.015001,-3.915,-7.806339,-21.24963,-15.372131,0,0,0,0,35793.98,31573.176,0,0,15.119999,2.0523157,3
2025-01-25 18:00:00+00:00,-13.571251,-22.565,-2.815,-6.949559,-27.157314,-18.073456,0,0,0,0,35675.387,31724.127,0,0,41.399998,7.538541,3
2025-01-24 18:00:00+00:00,-16.673336,-24.615,-7.015,-12.049147,-29.670412,-21.719221,0,0,0,0,35558.277,31694.068,0,0,52.92,8.863972,1
2025-01-23 18:00:00+00:00,-20.079586,-31.315,-9.665,-14.376066,-36.09399,-24.687738,0,0,0,0,35442.74,31494.945,0,0,36,5.8409934,2
2025-01-22 18:00:00+00:00,-15.708751,-18.015001,-12.815,-17.486393,-22.023434,-20.474112,0,0,15.9000025,22,35328.902,87.82585,11.199998,0,58.679996,9.567131,75
2025-01-21 18:00:00+00:00,-11.685833,-14.014999,-10.014999,-14.806142,-18.10991,-16.077791,0,0,9.800001,18,35216.918,0,6.5100007,0.4999999,49.32,10.601679,73
2025-01-20 18:00:00+00:00,-11.023334,-19.515001,-3.515,-7.1742964,-23.74772,-14.866421,0,0,1.2,3,35106.918,31112.645,0.84,0,16.919998,4.752136,73
2025-01-19 18:00:00+00:00,-10.748333,-17.815,-2.165,-5.6709805,-21.96504,-14.597443,0,0,0.2,1,34999.055,31032.008,0.14,0,15.84,3.550155,71
2025-01-18 18:00:00+00:00,-10.200417,-16.515001,-3.165,-6.9581404,-20.66398,-14.111392,0,0,0.8,6,34893.473,16452.18,0.56,0,19.8,3.362677,71
2025-01-17 18:00:00+00:00,-9.775416,-16.015,-2.115,-6.139028,-20.586828,-14.023181,0,0,0,0,34790.312,26805.893,0,0,33.48,6.725354,3
2025-01-16 18:00:00+00:00,-10.367084,-16.465,-2.915,-7.1096053,-20.858397,-14.620194,0,0,0.1,1,34689.74,28800,0.07,0,25.199999,5.5450516,71
2025-01-15 18:00:00+00:00,-12.808751,-19.515001,-5.465,-9.223537,-23.645973,-16.769917,0,0,0,0,34591.9,29914.691,0,0,12.599999,1.835647,3
2025-01-14 18:00:00+00:00,-11.848332,-18.065,-3.4650002,-7.276554,-22.73406,-16.14353,0,0,0,0,34496.953,26926.635,0,0,27,5.1919937,3
2025-01-13 18:00:00+00:00,-13.38375,-20.465,-4.415,-8.810013,-24.910141,-17.76732,0,0,0,0,34405.05,30609.584,0,0,26.28,4.5536795,3
2025-01-12 18:00:00+00:00,-13.242084,-20.465,-2.615,-6.517388,-24.832464,-17.45851,0,0,0,0,34316.348,30534.719,0,0,21.599998,3.3043609,0
2025-01-11 18:00:00+00:00,-15.546248,-24.065,-3.9650002,-8.340865,-28.81099,-20.136068,0,0,0,0,34231.016,30461.227,0,0,33.12,6.0908127,0
2025-01-10 18:00:00+00:00,-17.054586,-23.365,-7.415,-12.05698,-28.346918,-21.872175,0,0,0,0,34149.207,30379.004,0,0,44.28,7.289444,0
2025-01-09 18:00:00+00:00,-16.392088,-21.915,-7.565,-12.744057,-27.083529,-21.543642,0,0,0,0,34071.09,30311.043,0,0,64.439995,10.088033,0
2025-01-08 18:00:00+00:00,-20.458754,-29.815,-9.315,-14.059165,-34.414192,-25.081583,0,0,0,0,33996.816,30244.848,0,0,36,5.195113,1
2025-01-07 18:00:00+00:00,-14.431667,-22.815,-11.764999,-15.835839,-27.14234,-18.94119,0,0,18.599998,15,33926.56,7798.381,13.0199995,0,60.839996,11.39842,75
